Disease,Symptoms,Tablet,Compositions,Price,Medicine usage,side effect,sevearity,Sevearity values
Anemia,wheezing and cough,Glycopyrrolate,Cresp PFS 20mcg and 1 Vial,2.65,prescribed for preventing ulcers,problem in sleeping,normal,1
Obesity,fever and vomiting,Digoxin,Sulbacin Tablet and 220/147mg and 10 Tablets,81.0,prescribed for susceptible bacterial infections like skin infections,"vomiting, gas, nausea, and diarrhea",bad,0
hypertensive disease,feeling suicidal and feeling hopeless,Lupisetron plus,Diabinese Tablet 100mg and 10 Tablets,96.0,prescribed for congestive heart faliure,Loss of appetite and vomiting.,bad,0
Diabetes,orthopnea and fatigue and dyspnea on exertion,Lupisetron plus,ACEBROFACT Capsule and 100mg,6.0,swelling and narrowing,Respiratory,bad,0
Asthma,pain and catatonia and snore and pain chest,Amoxapine,Lupisetron plus and 4/500mg 10 Tablets,45.0,Headache and dizziness.,Fever and weakness,normal,1
dehydration,pain chest and shortness of breath,Digoxin,Oxamine (100mg) and100mg and 11,417.0,prescribed for depression,blurred vision,bad,0
Depression,shortness of breath and pain chest and asthenia,Glycopyrrolate,Digitran 250 Capsule and Tablet and 0.25mg 11,200.0,HMG-CoA reductase inhibitor,Weakness,normal,1
failure heart,shortness of breath and pain chest and asthenia,Digoxin,Oxamine (100mg) and100mg and 11,25.0,primary hyper tension,headache,normal,1
ulcer peptic,wheezing and cough,Lupisetron plus,Digitran 250 Capsule and Tablet and 0.25mg 11,408.5,prescribed for congestive heart faliure,Loss of appetite and vomiting.,bad,0
pneumonia,fever and vomiting,Lupisetron plus,ACEBROFACT Capsule and 100mg,2.65,HMG-CoA reductase inhibitor,Weakness,normal,1
Anemia,feeling suicidal and feeling hopeless,Lupisetron plus,ACEBROFACT Capsule and 100mg,408.5,primary hyper tension,headache,normal,1
