Disease,Symptoms,Tablet,Compositions,Price,Medicine usage,side effect,sevearity,Sevearity values
Asthma,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,2.65,treating diabetes,Allergic skin reaction,normal,1
Asthma,wheezing and cough,Etofylline,ACEBROFACT Capsule and 100mg,150,swelling and narrowing,Upset stomach,normal,1
Asthma,fever and vomiting,ondansetron,Satron Plus Susp Suspension 2mg and 5ml,81,Headache and dizziness.,Central Nervous System,bad,0
Asthma,feeling suicidal and feeling hopeless,Amoxapine,Tryline Forte Tablet and 10mg/25mg and 10 Tablets,96,prescribed for anxiety and panic disorders.,heart block,bad,0
Asthma,orthopnea and fatigue and dyspnea on exertion,Digoxin,Digitran - 250 Capsule and Tablet and 0.25mg 11,9,prescribed for congestive heart faliure,stomach pain,normal,1
Asthma,pain and vomiting and out of breath and pain chest,Magnesium Hydroxide,Aludrox (840 mg) Tablet and 840mg and 50 Tablets,12,heartburn relief,muscle weakness,normal,1
Asthma,Ampicillin and Sulbactam,Darbeponetin alfa,Penglobe (400 mg) Tablet and 400mg and 6 Tablets,417,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
Asthma,guaiac positive and monoclonal,Darbeponetin alfa,Abonyl Capsule and 100 mg and 10 capsules,45,chronic kidney disease,difficulty in breathing,bad,0
dehydration,pain and catatonia and snore and pain chest,Gemfibrozil,Lescol XL Tablet and 80mg and 14 Tablets.,25,prescribed for high cholesterol and triglycerides,Weakness,normal,1
dehydration,pain chest and shortness of breath,Acetazolamide,Synomax Capsule Tablet and 250mg and10,408.5,To treat high blood pressure,kidney problems,bad,0
dehydration,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,2.65,treating diabetes,Allergic skin reaction,normal,1
dehydration,wheezing and cough,Etofylline,ACEBROFACT Capsule and 100mg,150,swelling and narrowing,Upset stomach,normal,1
dehydration,fever and vomiting,ondansetron,Satron Plus Susp Suspension 2mg and 5ml,81,Headache and dizziness.,Central Nervous System,bad,0
dehydration,feeling suicidal and feeling hopeless,Amoxapine,Tryline Forte Tablet and 10mg/25mg and 10 Tablets,96,prescribed for anxiety and panic disorders.,heart block,bad,0
dehydration,orthopnea and fatigue and dyspnea on exertion,Digoxin,Digitran - 250 Capsule and Tablet and 0.25mg 11,9,prescribed for congestive heart faliure,stomach pain,normal,1
dehydration,pain and vomiting and out of breath and pain chest,Magnesium Hydroxide,Aludrox (840 mg) Tablet and 840mg and 50 Tablets,12,heartburn relief,muscle weakness,normal,1
dehydration,Ampicillin and Sulbactam,Darbeponetin alfa,Penglobe (400 mg) Tablet and 400mg and 6 Tablets,417,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
dehydration,guaiac positive and monoclonal,Darbeponetin alfa,Abonyl Capsule and 100 mg and 10 capsules,45,chronic kidney disease,difficulty in breathing,bad,0
Depression,pain and catatonia and snore and pain chest,Gemfibrozil,Lescol XL Tablet and 80mg and 14 Tablets.,25,prescribed for high cholesterol and triglycerides,Weakness,normal,1
Depression,pain chest and shortness of breath,Acetazolamide,Synomax Capsule Tablet and 250mg and10,408.5,To treat high blood pressure,kidney problems,bad,0
Depression,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,2.65,treating diabetes,Allergic skin reaction,normal,1
Depression,wheezing and cough,Etofylline,ACEBROFACT Capsule and 100mg,150,swelling and narrowing,Upset stomach,normal,1
Depression,fever and vomiting,ondansetron,Satron Plus Susp Suspension 2mg and 5ml,81,Headache and dizziness.,Central Nervous System,bad,0
Depression,feeling suicidal and feeling hopeless,Amoxapine,Tryline Forte Tablet and 10mg/25mg and 10 Tablets,96,prescribed for anxiety and panic disorders.,heart block,bad,0
Depression,orthopnea and fatigue and dyspnea on exertion,Digoxin,Digitran - 250 Capsule and Tablet and 0.25mg 11,9,prescribed for congestive heart faliure,stomach pain,normal,1
Depression,pain and vomiting and out of breath and pain chest,Magnesium Hydroxide,Aludrox (840 mg) Tablet and 840mg and 50 Tablets,12,heartburn relief,muscle weakness,normal,1
Depression,Ampicillin and Sulbactam,Darbeponetin alfa,Penglobe (400 mg) Tablet and 400mg and 6 Tablets,417,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
Depression,guaiac positive and monoclonal,Darbeponetin alfa,Abonyl Capsule and 100 mg and 10 capsules,45,chronic kidney disease,difficulty in breathing,bad,0
failure heart,pain and catatonia and snore and pain chest,Gemfibrozil,Lescol XL Tablet and 80mg and 14 Tablets.,25,prescribed for high cholesterol and triglycerides,Weakness,normal,1
failure heart,pain chest and shortness of breath,Acetazolamide,Synomax Capsule Tablet and 250mg and10,408.5,To treat high blood pressure,kidney problems,bad,0
failure heart,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,2.65,treating diabetes,Allergic skin reaction,normal,1
failure heart,wheezing and cough,Etofylline,ACEBROFACT Capsule and 100mg,150,swelling and narrowing,Upset stomach,normal,1
failure heart,fever and vomiting,ondansetron,Satron Plus Susp Suspension 2mg and 5ml,81,Headache and dizziness.,Central Nervous System,bad,0
failure heart,feeling suicidal and feeling hopeless,Amoxapine,Tryline Forte Tablet and 10mg/25mg and 10 Tablets,96,prescribed for anxiety and panic disorders.,heart block,bad,0
failure heart,orthopnea and fatigue and dyspnea on exertion,Digoxin,Digitran - 250 Capsule and Tablet and 0.25mg 11,9,prescribed for congestive heart faliure,stomach pain,normal,1
failure heart,pain and vomiting and out of breath and pain chest,Magnesium Hydroxide,Aludrox (840 mg) Tablet and 840mg and 50 Tablets,12,heartburn relief,muscle weakness,normal,1
failure heart,Ampicillin and Sulbactam,Darbeponetin alfa,Penglobe (400 mg) Tablet and 400mg and 6 Tablets,417,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
failure heart,guaiac positive and monoclonal,Darbeponetin alfa,Abonyl Capsule and 100 mg and 10 capsules,45,chronic kidney disease,difficulty in breathing,bad,0
ulcer peptic,pain and catatonia and snore and pain chest,Gemfibrozil,Lescol XL Tablet and 80mg and 14 Tablets.,25,prescribed for high cholesterol and triglycerides,Weakness,normal,1
ulcer peptic,pain chest and shortness of breath,Acetazolamide,Synomax Capsule Tablet and 250mg and10,408.5,To treat high blood pressure,kidney problems,bad,0
ulcer peptic,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,2.65,treating diabetes,Allergic skin reaction,normal,1
ulcer peptic,wheezing and cough,Etofylline,ACEBROFACT Capsule and 100mg,150,swelling and narrowing,Upset stomach,normal,1
ulcer peptic,fever and vomiting,ondansetron,Satron Plus Susp Suspension 2mg and 5ml,81,Headache and dizziness.,Central Nervous System,bad,0
ulcer peptic,feeling suicidal and feeling hopeless,Amoxapine,Tryline Forte Tablet and 10mg/25mg and 10 Tablets,96,prescribed for anxiety and panic disorders.,heart block,bad,0
ulcer peptic,orthopnea and fatigue and dyspnea on exertion,Digoxin,Digitran - 250 Capsule and Tablet and 0.25mg 11,9,prescribed for congestive heart faliure,stomach pain,normal,1
ulcer peptic,pain and vomiting and out of breath and pain chest,Magnesium Hydroxide,Aludrox (840 mg) Tablet and 840mg and 50 Tablets,12,heartburn relief,muscle weakness,normal,1
ulcer peptic,Ampicillin and Sulbactam,Darbeponetin alfa,Penglobe (400 mg) Tablet and 400mg and 6 Tablets,417,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
ulcer peptic,guaiac positive and monoclonal,Darbeponetin alfa,Abonyl Capsule and 100 mg and 10 capsules,45,chronic kidney disease,difficulty in breathing,bad,0
pneumonia,pain and catatonia and snore and pain chest,Gemfibrozil,Lescol XL Tablet and 80mg and 14 Tablets.,25,prescribed for high cholesterol and triglycerides,Weakness,normal,1
pneumonia,pain chest and shortness of breath,Acetazolamide,Synomax Capsule Tablet and 250mg and10,408.5,To treat high blood pressure,kidney problems,bad,0
pneumonia,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,2.65,treating diabetes,Allergic skin reaction,normal,1
pneumonia,wheezing and cough,Etofylline,ACEBROFACT Capsule and 100mg,150,swelling and narrowing,Upset stomach,normal,1
pneumonia,fever and vomiting,ondansetron,Satron Plus Susp Suspension 2mg and 5ml,81,Headache and dizziness.,Central Nervous System,bad,0
pneumonia,feeling suicidal and feeling hopeless,Amoxapine,Tryline Forte Tablet and 10mg/25mg and 10 Tablets,96,prescribed for anxiety and panic disorders.,heart block,bad,0
pneumonia,orthopnea and fatigue and dyspnea on exertion,Digoxin,Digitran - 250 Capsule and Tablet and 0.25mg 11,9,prescribed for congestive heart faliure,stomach pain,normal,1
pneumonia,pain and vomiting and out of breath and pain chest,Magnesium Hydroxide,Aludrox (840 mg) Tablet and 840mg and 50 Tablets,12,heartburn relief,muscle weakness,normal,1
pneumonia,Ampicillin and Sulbactam,Darbeponetin alfa,Penglobe (400 mg) Tablet and 400mg and 6 Tablets,417,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
pneumonia,guaiac positive and monoclonal,Darbeponetin alfa,Abonyl Capsule and 100 mg and 10 capsules,45,chronic kidney disease,difficulty in breathing,bad,0
Anemia,pain and catatonia and snore and pain chest,Gemfibrozil,Lescol XL Tablet and 80mg and 14 Tablets.,25,prescribed for high cholesterol and triglycerides,Weakness,normal,1
Anemia,pain chest and shortness of breath,Acetazolamide,Synomax Capsule Tablet and 250mg and10,408.5,To treat high blood pressure,kidney problems,bad,0
Anemia,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,2.65,treating diabetes,Allergic skin reaction,normal,1
Anemia,wheezing and cough,Etofylline,ACEBROFACT Capsule and 100mg,150,swelling and narrowing,Upset stomach,normal,1
Anemia,fever and vomiting,ondansetron,Satron Plus Susp Suspension 2mg and 5ml,81,Headache and dizziness.,Central Nervous System,bad,0
Anemia,feeling suicidal and feeling hopeless,Amoxapine,Tryline Forte Tablet and 10mg/25mg and 10 Tablets,96,prescribed for anxiety and panic disorders.,heart block,bad,0
Anemia,orthopnea and fatigue and dyspnea on exertion,Digoxin,Digitran - 250 Capsule and Tablet and 0.25mg 11,9,prescribed for congestive heart faliure,stomach pain,normal,1
Anemia,pain and vomiting and out of breath and pain chest,Magnesium Hydroxide,Aludrox (840 mg) Tablet and 840mg and 50 Tablets,12,heartburn relief,muscle weakness,normal,1
Anemia,Ampicillin and Sulbactam,Darbeponetin alfa,Penglobe (400 mg) Tablet and 400mg and 6 Tablets,417,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
Anemia,guaiac positive and monoclonal,Darbeponetin alfa,Abonyl Capsule and 100 mg and 10 capsules,45,chronic kidney disease,difficulty in breathing,bad,0
Anemia,pain and catatonia and snore and pain chest,Gemfibrozil,Lescol XL Tablet and 80mg and 14 Tablets.,25,prescribed for high cholesterol and triglycerides,Weakness,normal,1
Anemia,pain chest and shortness of breath,Acetazolamide,Synomax Capsule Tablet and 250mg and10,408.5,To treat high blood pressure,kidney problems,bad,0
Anemia,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,2.65,treating diabetes,Allergic skin reaction,normal,1
Anemia,wheezing and cough,Etofylline,ACEBROFACT Capsule and 100mg,150,swelling and narrowing,Upset stomach,normal,1
Anemia,fever and vomiting,ondansetron,Satron Plus Susp Suspension 2mg and 5ml,81,Headache and dizziness.,Central Nervous System,bad,0
Anemia,feeling suicidal and feeling hopeless,Amoxapine,Tryline Forte Tablet and 10mg/25mg and 10 Tablets,96,prescribed for anxiety and panic disorders.,heart block,bad,0
Anemia,orthopnea and fatigue and dyspnea on exertion,Digoxin,Digitran - 250 Capsule and Tablet and 0.25mg 11,9,prescribed for congestive heart faliure,stomach pain,normal,1
Anemia,pain and vomiting and out of breath and pain chest,Magnesium Hydroxide,Aludrox (840 mg) Tablet and 840mg and 50 Tablets,12,heartburn relief,muscle weakness,normal,1
Anemia,Ampicillin and Sulbactam,Darbeponetin alfa,Penglobe (400 mg) Tablet and 400mg and 6 Tablets,417,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
